symbol,universe,level_kind,first_seen_utc,fill_ts,fill_utc,entry_px,atr,pierce_atr,variant_b,status,exit_ts,exit_utc,stopped,gross_r,net_r,flow_reject,flow_att_min,flow_vshock,flow_taker,flow_absorb,flow_vhigh,drv_q,drv_liqburst,drv_gap_oi,v7_align,drv_gap_cvd,side
AAVE,added20,session,2026-07-29 13:42,1785196800,2026-07-28 00:00,98.430000,1.143939,1.0228,0,CLOSED,1785225600,2026-07-28 08:00,0,-0.249764,-0.274348,0,16,5.87,0.1898,0.186,na,,,,,,LONG
ARB,added20,pdh_pdl,2026-07-29 13:42,1785196800,2026-07-28 00:00,0.076600,0.000901,0.1110,1,CLOSED,1785225600,2026-07-28 08:00,0,0.348967,0.324666,1,1,15.0,0.1676,1.51,na,,,,,,LONG
ICP,added20,session,2026-07-29 13:42,1785196800,2026-07-28 00:00,2.087000,0.018220,0.1098,1,CLOSED,1785225600,2026-07-28 08:00,0,0.031363,-0.001364,1,2,155.21,-0.0775,-0.706,na,,,,,,LONG
LINK,core9,pdh_pdl,2026-07-29 13:42,1785196800,2026-07-28 00:00,8.379000,0.078584,0.3945,0,CLOSED,1785225600,2026-07-28 08:00,0,-0.196332,-0.226796,0,27,2.59,0.1899,0.481,na,,,,,,LONG
NEAR,added20,pdh_pdl,2026-07-29 13:42,1785196800,2026-07-28 00:00,1.696000,0.022177,0.7215,0,CLOSED,1785225600,2026-07-28 08:00,0,-0.206133,-0.227983,0,35,7.39,0.5555,0.77,na,,,,,,LONG
SOL,core9,session,2026-07-29 13:42,1785196800,2026-07-28 00:00,73.780000,0.627578,0.0637,1,CLOSED,1785225600,2026-07-28 08:00,0,-0.186659,-0.220248,1,1,9.85,0.4467,4.467,na,,,,,,LONG
SUI,added20,pdh_pdl,2026-07-29 13:42,1785196800,2026-07-28 00:00,0.677200,0.007069,0.4385,0,CLOSED,1785225600,2026-07-28 08:00,0,0.194010,0.166638,1,10,20.64,0.1521,0.347,na,,,,,,LONG
SUI,added20,session,2026-07-29 13:42,1785196800,2026-07-28 00:00,0.677200,0.007069,0.4385,0,CLOSED,1785225600,2026-07-28 08:00,0,0.194010,0.166638,1,10,20.64,0.1521,0.347,na,,,,,,LONG
SUI,added20,swing,2026-07-29 13:42,1785196800,2026-07-28 00:00,0.677200,0.007069,0.4385,0,CLOSED,1785225600,2026-07-28 08:00,0,0.194010,0.166638,1,10,20.64,0.1521,0.347,na,,,,,,LONG
VET,added20,pdh_pdl,2026-07-29 13:42,1785196800,2026-07-28 00:00,0.004529,0.000040,0.4284,0,CLOSED,1785225600,2026-07-28 08:00,0,-0.093592,-0.126198,na,,,,,,,,,,,LONG
VET,added20,pwh_pwl,2026-07-29 13:42,1785196800,2026-07-28 00:00,0.004529,0.000040,0.4284,0,CLOSED,1785225600,2026-07-28 08:00,0,-0.093592,-0.126198,na,,,,,,,,,,,LONG
VET,added20,session,2026-07-29 13:42,1785196800,2026-07-28 00:00,0.004529,0.000040,0.4284,0,CLOSED,1785225600,2026-07-28 08:00,0,-0.093592,-0.126198,na,,,,,,,,,,,LONG
VET,added20,swing,2026-07-29 13:42,1785196800,2026-07-28 00:00,0.004529,0.000040,0.4284,0,CLOSED,1785225600,2026-07-28 08:00,0,-0.093592,-0.126198,na,,,,,,,,,,,LONG
ALGO,added20,pdh_pdl,2026-07-29 13:42,1785200400,2026-07-28 01:00,0.079900,0.000657,0.3045,0,CLOSED,1785229200,2026-07-28 09:00,0,0.435035,0.400275,1,4,8.17,0.2944,0.967,na,,,,,,LONG
BNB,core9,pdh_pdl,2026-07-29 13:42,1785200400,2026-07-28 01:00,565.400000,2.857327,0.1645,1,CLOSED,1785229200,2026-07-28 09:00,0,0.045997,-0.010539,1,4,4.34,0.6349,3.86,na,,,,,,LONG
